Severity,Facility,Mnemonics
0 - Emergency,CI,SHUT_LC_FANGONE
0 - Emergency,CI,SHUTFANGONE
0 - Emergency,CI,SHUTFANFAIL
0 - Emergency,CI,SHUT_LC_FANFAIL
1 - Alert,CI,FAN_FAILURE_LC_SHUT
1 - Alert,CI,FAN_MISSING
1 - Alert,CI,NOFAN
1 - Alert,CI,TOTALFANFAIL
1 - Alert,CMRP_PFU,PFU_FAN_FAILED
1 - Alert,ENVMON,RPS_FAN_FAILED
1 - Alert,ENVM,OVERTEMP_ALERT
1 - Alert,ENVIRONMENTAL,ALERT
1 - Alert,FLASH,DEVICE_REMOVED
1 - Alert,HARDWARE,THERMAL_CRITICAL
1 - Alert,PLATFORM_ENV,FRU_PS_FAN_FAILED
1 - Alert,PLATFORM_ENV,FRU_PS_FAN_OK
1 - Alert,PLATFORM_ENV,FAN
1 - Alert,PLATFORM_ENV,FAN_NOT_PRESENT
1 - Alert,PLATFORM_ENV,FRU_FAN_OK
1 - Alert,PLATFORM_ENV,PLATFORM_FAN_CRITICAL
1 - Alert,PLATFORM_ENV,RPS_FAN_FAILED
1 - Alert,PLATFORM_ENV,RPS_PS_FAN_FAILED
1 - Alert,PLATFORM_THERMAL,FRU_FAN_FAILURE
1 - Alert,PLATFORM_THERMAL,FRU_FAN_RECOVERY
1 - Alert,PLATFORM_THERMAL,FAN_CRITICAL
1 - Alert,PLATFORM_THERMAL,FRU_FAN_NOT_PRESENT
1 - Alert,PLATFORM_THERMAL,FRU_FAN_DISABLED
1 - Alert,PLATFORM_THERMAL,FRU_FAN_INSUFFICIENTFANTRAYSDETECTEDPOWERDOWN
1 - Alert,PLATFORM_FEP,FRU_PS_SIGNAL_FAULTY
1 - Alert,PLATFORM,PFM_ALERT
1 - Alert,SYS,OVERTEMP
1 - Alert,THERMAL,THERMAL_RED_THRESHOLD
2 - Critical,C4K_IOSMODPORTMAN,CRITICALTEMP
2 - Critical,C4K_IOSMODPORTMAN,MODULECRITICALTEMP
2 - Critical,CTS,AUTHZ_POLICY_SGACL_ACE_FAILED
2 - Critical,C6KENV,MAJORTEMPALARM
2 - Critical,C4K_CHASSIS,INSUFFICIENTFANSDETECTEDPOWERDOWN
2 - Critical,ENV_MON,FANOK
2 - Critical,ENV_MON,FAN
2 - Critical,ENVIRONMENT,FAN_FAULT
2 - Critical,HARDWARE,THERMAL_WARNING
2 - Critical,IOSXE_RP_ALARM,PEM
2 - Critical,MRP,RINGFAULT
2 - Critical,PORT_SECURITY,PSECURE_VIOLATION
2 - Critical,PLATFORM,PS_RED_MODE_CHG
2 - Critical,PLATFORM,PS_FAIL
2 - Critical,PLATFORM,PS_DETECT
2 - Critical,PLATFORM,PS_ABSENT
2 - Critical,RMGR,RED_LIC_MISMATCH
2 - Critical,SPA,TEMP_CRITICAL
2 - Critical,SPANTREE,BLOCK_BPDUGUARD
2 - Critical,THERMAL,THERMAL_YELLOW_THRESHOLD
2 - Critical,THERMAL,THERMAL_RED_THRESHOLD
3 - Error,BGP,NOTIFICATION
3 - Error,CLIENT_ORCH_AUDIT_MESSAGE,FIPS_AUDIT_FTA_TSE1_DENY_CLIENT_ACCESS
3 - Error,CI,PARTIAL_FAN_FAIL
3 - Error,CI,PARTFANFAIL
3 - Error,CI,PSFANFAIL
3 - Error,CMRP,FAN_FAILURE_SYS_SHUTDOWN
3 - Error,CMRP_ENVMON,TEMP_SYS_SHUTDOWN_PENDING
3 - Error,CMRP_ENVMON,TEMP_WARN_CRITICAL
3 - Error,CMRP_ENVMON,TEMP_FRU_SHUTDOWN_PENDING
3 - Error,CMRP_PFU,PWR_MGMT_ALARM
3 - Error,CMRP_PFU,PWR_MGMT_LC_SHUTDOWN
3 - Error,CTS,AUTHZ_POLICY_SGACL_ACE_FAILED
3 - Error,CTS,AUTHZ_POLICY_SGACL_FAILED
3 - Error,CTS,AAA_NO_RADIUS_SERVER
3 - Error,CTS,AUTHZ_ENTRY_RADIUS_FAILED
3 - Error,CTS,PAC_PROVI_FAIL
3 - Error,CTS,SXP_CONN_STATE_CHG_OFF
3 - Error,ENVIRONMENT,OVERTEMP
3 - Error,ENVM,FAN_FAILED
3 - Error,ENVM,FAN_OK_ERR
3 - Error,ENVM,FAN_FAILED_ERR
3 - Error,ENVM,FAN_ON
3 - Error,ENVM,FAN_RECOVERED
3 - Error,ENVM,FAN_SHUTDOWN_ERR
3 - Error,FAN,FAN_OK
3 - Error,FAN,FAN_FAILED
3 - Error,HARDWARE,THERMAL_NOT_FUNCTIONING
3 - Error,IOSXE_PEM,FAN_FAIL_SHUTDOWN
3 - Error,IOSXE_PEM,FANFAIL
3 - Error,IOSXE_PEM,PEMCHASFSERR
3 - Error,IOSXE_PEM,PEMFAIL
3 - Error,ILPOWER,CONTROLLER_ERR
3 - Error,ILPOWER,CONTROLLER_PORT_ERR
3 - Error,ILPOWER,SHUT_OVERDRAWN
3 - Error,LINK,UPDOWN
3 - Error,POWER_SUPPLIES,PWR_FAIL
3 - Error,PLATFORM_THERMAL,OVERTEMP
3 - Error,REDUNDANCY,PEER_MONITOR
3 - Error,REDUNDANCY,SWITCHOVER
3 - Error,REDUNDANCY,STANDBY_LOST
3 - Error,RMGR,RED_WLC_SWITCHOVER
3 - Error,RMGR,RED_HEARTBEAT_TMOUT
3 - Error,RADIUS,ALLDEADSERVER
3 - Error,RPS,FANOK
3 - Error,RPS,FANFAIL
3 - Error,RTT,IPSLATHRESHOLD
3 - Error,SFF8472,THRESHOLD_VIOLATION
3 - Error,STANDBY,DUPADDR
3 - Error,SYS,DISK_SPACE_ALMOST_FULL
3 - Error,WLANMGR_TRACE_MESSAGE,EWLC_WLANMGR_SCHEDULED_WLAN_DISABLE
3 - Error,WLANMGR_TRACE_MESSAGE,EWLC_WLANMGR_SCHEDULED_WLAN_ENABLE
4 - Warning,ACL_ERRMSG,HASH_FULL
4 - Warning,CMRP_PFU,PFU_FAN_WARN
4 - Warning,C4K_IOSMODPORTMAN,CRITICALTEMP
4 - Warning,C4K_IOSMODPORTMAN,FANTRAYREMOVED
4 - Warning,C4K_IOSMODPORTMAN,MODULETEMPHIGH
4 - Warning,C4K_IOSMODPORTMAN,MODULECRITICALTEMP
4 - Warning,C4K_IOSMODPORTMAN,POWERSUPPLYBAD
4 - Warning,C4K_IOSMODPORTMAN,TEMPHIGH
4 - Warning,C6KENV,TERMINATOR_PS_TEMP_MAJORALARM
4 - Warning,CDP,DUPLEX_MISMATCH
4 - Warning,CDP,NATIVE_VLAN_MISMATCH
4 - Warning,IP,DUPADDR
4 - Warning,LISP,CEF_DISABLED
4 - Warning,LISP,LOCAL_EID_NO_ROUTE
4 - Warning,LISP,LOCAL_EID_MAP_REGISTER_FAILURE
4 - Warning,LISP,LOCAL_EID_RLOC_INCONSISTENCY
4 - Warning,LISP,MAP_CACHE_WARNING_THRESHOLD_REACHED
4 - Warning,MAC_MOVE,NOTIF
4 - Warning,MAC_LIMIT,PORT_EXCEED
4 - Warning,MAC_LIMIT,VLAN_EXCEED
4 - Warning,MM,MEMBER_DOWN
4 - Warning,MM,MEMBER_UP
4 - Warning,PM,ERR_DISABLE
4 - Warning,PLATFORM_STACKPOWER,INSUFFICIENT_PWR
4 - Warning,PLATFORM_STACKPOWER,REDUNDANCY_LOSS
4 - Warning,PLATFORM_STACKPOWER,TOO_MANY_ERRORS
4 - Warning,PLATFORM_STACKPOWER,UNDER_BUDGET
4 - Warning,PLATFORM_STACKPOWER,VERSION_MISMATCH
4 - Warning,PM-SP,ERR_DISABLE
4 - Warning,RADIUS,RADIUS_DEAD
4 - Warning,RADIUS,RADIUS_ALIVE
4 - Warning,REP,LINKSTATUS
4 - Warning,RTT,OPER_TIMEOUT
4 - Warning,SW_MATM,MACFLAP_NOTIF
4 - Warning,UDLD,UDLD_PORT_DISABLED
5 - Notice,AUTHMGR,START
5 - Notice,AUTHMGR,SUCCESS
5 - Notice,BGP,ADJCHANGE
5 - Notice,CAPWAPAC_SMGR_TRACE_MESSAGE,AP_JOIN_DISJOIN
5 - Notice,CLNS,ADJCHANGE
5 - Notice,DUAL,NBRCHANGE
